Output Values per Iteration 
Iter.#	Fitness		k_EOC		NPF_max
1	164.948413	0.900064	2.730
2	166.728805	0.898466	2.651
3	166.728805	0.898466	2.651
4	140.876979	0.900490	4.315
5	166.728805	0.898466	2.651
6	166.728805	0.898466	2.651
7	166.728805	0.898466	2.651
8	166.728805	0.898466	2.651
9	166.728805	0.898466	2.651
10	166.728805	0.898466	2.651
11	145.485580	0.899832	3.878
12	150.441485	0.900431	3.507
13	166.728805	0.898466	2.651
14	153.183408	0.899778	3.324
15	162.428738	0.898458	2.831
16	166.139416	0.898168	2.673
17	165.467491	0.898156	2.700
18	166.139416	0.898168	2.673
19	149.413662	0.898524	3.564
20	166.139416	0.898168	2.673
21	157.750486	0.900043	3.066
22	165.860167	0.898128	2.684
23	167.913817	0.898145	2.604
24	166.381199	0.898077	2.663
25	166.139416	0.898168	2.673
26	166.139416	0.898168	2.673
27	152.643245	0.899831	3.358
28	150.471376	0.899377	3.497
29	170.924812	0.900260	2.503
30	170.924812	0.900260	2.503
31	166.139416	0.898168	2.673
32	149.534269	0.901655	3.580
33	152.226629	0.901469	3.396
34	141.205875	0.899859	4.274
35	170.924812	0.900260	2.503
36	170.924812	0.900260	2.503
37	167.265545	0.900311	2.638
38	170.656806	0.899641	2.510
39	141.757614	0.899813	4.218
40	172.084327	0.899960	2.462
41	172.084327	0.899960	2.462
42	151.809518	0.899792	3.411
43	170.338063	0.902123	2.531
44	156.258383	0.902445	3.161
45	173.972747	0.901717	2.406
46	170.198085	0.901361	2.533
47	177.332770	0.900743	2.299
48	176.126260	0.900703	2.335
49	153.760475	0.900557	3.294
50	156.345628	0.900949	3.147
51	176.460854	0.900743	2.325
52	155.593176	0.901726	3.194
53	167.627086	0.902653	2.634
54	149.680520	0.900559	3.561
55	152.784944	0.902409	3.367
56	172.031082	0.900815	2.467
57	170.853239	0.900647	2.507
58	170.751019	0.912146	2.556
59	159.971440	0.879408	2.847
60	152.622573	0.871107	3.171
61	150.462663	0.942450	3.855
62	177.789475	0.901485	2.288
63	175.256236	0.899604	2.358
64	173.741983	0.928124	2.512
65	163.584892	0.884415	2.715
66	173.933127	0.897405	2.392
67	171.994373	0.891003	2.432
68	155.379946	0.879933	3.074
69	178.115061	0.902257	2.281
70	170.164933	0.891290	2.495
71	176.664554	0.900479	2.318
72	155.023970	0.940381	3.495
73	172.744949	0.911267	2.482
74	162.621639	0.909384	2.877
75	162.735642	0.914123	2.896
76	172.169146	0.894778	2.440
77	170.164933	0.891290	2.495
78	159.189236	0.876101	2.866
79	177.585679	0.903650	2.301
80	156.082174	0.935997	3.393
81	164.788302	0.939620	2.932
82	153.120757	0.946261	3.678
83	179.491242	0.909700	2.265
84	160.292418	0.973881	3.391
85	176.289828	0.916775	2.385
86	179.404104	0.909543	2.267
87	165.293145	0.920546	2.812
88	171.346668	0.913541	2.540
89	173.150397	0.903946	2.441
90	168.895158	0.922694	2.671
91	165.670152	0.882798	2.625
92	164.917485	0.938704	2.921
93	166.147264	0.924774	2.795
94	165.884885	0.915023	2.760
95	159.211226	0.932445	3.181
96	179.447603	0.909621	2.266
97	175.553616	0.905789	2.370
98	166.354525	0.933843	2.830
99	153.376177	0.951322	3.701
100	149.247544	0.886147	3.481
101	172.772281	0.897780	2.431
102	175.158857	0.905378	2.381
103	153.990438	0.871432	3.098
104	169.277647	0.926389	2.672
105	176.926135	0.927928	2.404
106	173.247583	0.935523	2.559
107	169.676837	0.913167	2.600
108	181.248636	0.939911	2.311
109	174.538295	0.950433	2.572
110	167.038153	0.970402	2.988
111	177.510681	0.933227	2.404
112	184.626611	0.947922	2.239
113	182.925900	0.943046	2.272
114	184.901440	0.952353	2.245
115	151.299169	0.903670	3.473
116	180.862254	0.936104	2.310
117	170.576478	1.000468	2.977
118	160.328377	0.917292	3.031
119	186.634367	0.958259	2.215
120	185.983469	0.956639	2.228
121	176.969369	0.961729	2.529
122	184.968760	0.958403	2.262
123	150.908152	0.900798	3.478
124	182.825335	0.945892	2.284
125	170.953705	0.931636	2.629
126	185.494193	0.957081	2.243
127	179.038562	0.966733	2.476
128	150.676134	0.903086	3.511
129	187.871399	0.964471	2.200
130	185.152601	0.958159	2.256
131	156.834659	0.931402	3.314
132	187.365982	0.965553	2.217
133	187.841440	0.964535	2.201
134	187.057859	0.957767	2.202
135	181.532402	0.950306	2.337
136	182.865553	0.949049	2.293
137	159.507778	0.936095	3.187
138	188.426810	0.972848	2.210
139	187.462259	0.962771	2.206
140	186.751274	0.969122	2.245
141	187.851001	0.966295	2.206
142	180.422350	0.951080	2.374
143	183.305377	0.953962	2.296
144	188.482408	0.972686	2.208
145	154.635403	0.922458	3.390
146	150.269014	0.925515	3.721
147	184.560338	0.988303	2.373
148	181.875103	0.961354	2.364
149	175.284750	1.010092	2.807
150	187.252176	0.968140	2.228
151	153.622898	0.922977	3.460
152	187.149419	0.959601	2.205
153	184.943024	0.963841	2.280
154	182.403013	1.005864	2.509
155	182.700186	1.005706	2.498
156	183.182860	0.970289	2.354
157	187.264364	0.967923	2.227
158	157.592684	0.928156	3.247
159	175.450201	1.001307	2.758
160	187.678004	0.973959	2.234
161	186.053973	0.969825	2.267
162	187.631676	0.964974	2.208
163	183.577543	0.950837	2.278
164	165.327247	0.925341	2.834
165	189.215052	0.961228	2.155
166	181.118243	0.955074	2.366
167	186.262585	0.955881	2.218
168	180.866925	0.954533	2.372
169	189.223564	0.960254	2.152
170	185.226103	0.948790	2.225
171	171.820335	0.943231	2.645
172	188.896630	0.962517	2.167
